id,word,description,meaning,pronunciation,lesson,level,example
69,CD,NULL,dĩa CD,NULL,2,NULL,NULL
70,テレビ,NULL,tivi,NULL,2,NULL,NULL
71,ラジオ,NULL,radio,NULL,2,NULL,NULL
72,カメラ,NULL,máy ảnh,NULL,2,NULL,NULL
73,コンピューター,NULL,máy vi tính,NULL,2,NULL,NULL
74,くるま,NULL,"ô tô, xe hơi",NULL,2,NULL,NULL
75,つくえ,NULL,bàn,NULL,2,NULL,NULL
76,いす,NULL,ghế,NULL,2,NULL,NULL
77,チョコレート,NULL,sôcôla,NULL,2,NULL,NULL
78,コーヒー,NULL,cà phê,NULL,2,NULL,NULL
79,［お］みやげ,NULL,quà (mua khi đi xa về hoặc mang đi khi đi thăm nhà của người nào đó),NULL,2,NULL,NULL
80,えいご,NULL,tiếng Anh,NULL,2,NULL,NULL
81,にほんご,NULL,tiếng Nhật,NULL,2,NULL,NULL
82,～ご,NULL,tiếng ～,NULL,2,NULL,NULL
83,なん,NULL,"gì, cái gì",NULL,2,NULL,NULL
84,そう,NULL,vậy,NULL,2,NULL,NULL
85,あのう,NULL,"à, ờ... (dùng để biểu thị sự ngại ngùng, do dự)",NULL,2,NULL,NULL
86,えっ,NULL,Hả? (dùng khi nghe một điều gì không mong muốn),NULL,2,NULL,NULL
87,どうぞ。,NULL,Xin mời. (dùng khi mời ai đó cái gì),NULL,2,NULL,NULL
88,［どうも］ありがとう［ございます］。,NULL,"Xin chân thành cảm ơn, xin cảm ơn rất nhiều.",NULL,2,NULL,NULL
89,そうですか。,NULL,Thế à.,NULL,2,NULL,NULL
90,ちがいます。,NULL,"Không phải, không đúng, sai rồi.",NULL,2,NULL,NULL
91,あ,NULL,Ôi! (dùng khi nhận ra điều gì),NULL,2,NULL,NULL
92,これから おせわに なります。,NULL,Từ nay tôi rất mong được sự giúp đỡ của anh/chị.,NULL,2,NULL,NULL
198,～まで,NULL,～ đến,NULL,4,NULL,NULL
199,～と ～,NULL,～ và (dùng để nối danh từ),NULL,4,NULL,NULL
93,こちらこそ［どうぞ］よろしく［おねがいします］。,NULL,Chính tôi mới là người mong được sự giúp đỡ của anh/chị. (đáp lại câu [どうぞ］よろしく［おねがいします］),NULL,2,NULL,NULL
94,テレホンカード,NULL,thẻ điện thoại,NULL,2,NULL,NULL
95,［カセット］テープ,NULL,băng [cát-xét],NULL,2,NULL,NULL
96,テープレコーダー,NULL,máy ghi âm,NULL,2,NULL,NULL
97,じどうしゃ,NULL,"ô tô, xe hơi",NULL,2,NULL,NULL
98,ほんの きもちです。,NULL,Chỉ là chút lòng thành thôi.,NULL,2,NULL,NULL
99,どうも。,NULL,Cảm ơn.,NULL,2,NULL,NULL
100,ここ,NULL,"chỗ này, đằng này, đây (gần người nói)",NULL,3,NULL,NULL
101,そこ,NULL,"chỗ đó, đó (gần người nghe)",NULL,3,NULL,NULL
102,あそこ,NULL,"chỗ kia, đằng kia, kia (xa cả người nói và người nghe)",NULL,3,NULL,NULL
103,どこ,NULL,"chỗ nào, đâu",NULL,3,NULL,NULL
104,こちら,NULL,"phía này, đằng này, chỗ này, đây (cách nói lịch sự của ここ)",NULL,3,NULL,NULL
105,そちら,NULL,"phía đó, đằng đó, chỗ đó, đó (cách nói lịch sự của そこ)",NULL,3,NULL,NULL
106,あちら,NULL,"phía kia, đằng kia, chỗ kia, kia (cách nói lịch sự của あそこ)",NULL,3,NULL,NULL
107,どちら,NULL,"phía nào, đằng nào, chỗ nào, đâu (cách nói lịch sự của どこ)",NULL,3,NULL,NULL
108,きょうしつ,NULL,"lớp học, phòng học",NULL,3,NULL,NULL
109,しょくどう,NULL,nhà ăn,NULL,3,NULL,NULL
110,じむしょ,NULL,văn phòng,NULL,3,NULL,NULL
111,かいぎしつ,NULL,phòng họp,NULL,3,NULL,NULL
112,うけつけ,NULL,"quầy lễ tân, phòng thường trực",NULL,3,NULL,NULL
113,ロビー,NULL,"hành lang, đại sảnh",NULL,3,NULL,NULL
114,へや,NULL,căn phòng,NULL,3,NULL,NULL
115,トイレ（おてあらい）,NULL,"toa-lét, nhà vệ sinh, phòng vệ sinh",NULL,3,NULL,NULL
116,かいだん,NULL,cầu thang,NULL,3,NULL,NULL
117,エレベーター,NULL,thang máy,NULL,3,NULL,NULL
118,エスカレーター,NULL,thang cuốn,NULL,3,NULL,NULL
119,じどうはんばいき,NULL,máy bán hàng tự động,NULL,3,NULL,NULL
120,でんわ,NULL,điện thoại,NULL,3,NULL,NULL
121,［お］くに,NULL,nước (của bạn/anh/chị),NULL,3,NULL,NULL
122,かいしゃ,NULL,công ty,NULL,3,NULL,NULL
123,うち,NULL,nhà,NULL,3,NULL,NULL
124,くつ,NULL,giày,NULL,3,NULL,NULL
125,ネクタイ,NULL,cà vạt,NULL,3,NULL,NULL
126,ワイン,NULL,rượu vang,NULL,3,NULL,NULL
127,うりば,NULL,"quầy bán (trong một bách hóa,...)",NULL,3,NULL,NULL
128,ちか,NULL,"tầng hầm, dưới mặt đất",NULL,3,NULL,NULL
129,－かい（－がい）,NULL,tầng thứ －,NULL,3,NULL,NULL
130,なんがい,NULL,tầng mấy,NULL,3,NULL,NULL
131,－えん,NULL,－ yên,NULL,3,NULL,NULL
132,いくら,NULL,bao nhiêu tiền,NULL,3,NULL,NULL
133,ひゃく,NULL,trăm,NULL,3,NULL,NULL
134,せん,NULL,nghìn,NULL,3,NULL,NULL
135,まん,NULL,"mười nghìn, vạn",NULL,3,NULL,NULL
136,すみません。,NULL,Xin lỗi.,NULL,3,NULL,NULL
137,どうも。,NULL,Cảm ơn.,NULL,3,NULL,NULL
138,いらっしゃいませ。,NULL,"Xin chào quý khách, mời quý khách vào. (lời chào khách hàng khi họ vào quán, quầy,...)",NULL,3,NULL,NULL
139,［～を］みせて ください。,NULL,Cho tôi xem [～].,NULL,3,NULL,NULL
140,じゃ,NULL,Thế thi/Vậy thì,NULL,3,NULL,NULL
141,［～を］ください。,NULL,Cho tôi [～].,NULL,3,NULL,NULL
142,イタリア,NULL,Ý,NULL,3,NULL,NULL
143,スイス,NULL,Thụy Sĩ,NULL,3,NULL,NULL
144,フランス,NULL,Pháp,NULL,3,NULL,NULL
145,ジャカルタ,NULL,Gia-các-ta,NULL,3,NULL,NULL
146,バンコク,NULL,Băng-cốc,NULL,3,NULL,NULL
147,ベルリン,NULL,Béc-lin,NULL,3,NULL,NULL
148,しんおおさか,NULL,tên một ga ở Osaka,NULL,3,NULL,NULL
149,たばこ,NULL,thuốc lá,NULL,3,NULL,NULL
150,～で ございます。,NULL,(cách nói lịch sự của です),NULL,3,NULL,NULL
151,MT／ヨーネン／アキックス,NULL,tên các công ty giả tưởng,NULL,3,NULL,NULL
152,おきます,NULL,"dậy , thức dậy",NULL,4,NULL,NULL
153,ねます,NULL,"ngủ, đi ngủ",NULL,4,NULL,NULL
154,はたらきます,NULL,làm việc,NULL,4,NULL,NULL
155,やすみます,NULL,"nghỉ, nghỉ ngơi",NULL,4,NULL,NULL
156,べんきょうします,NULL,học,NULL,4,NULL,NULL
157,おわります,NULL,"hết, kết thúc, xong",NULL,4,NULL,NULL
158,デパート,NULL,bách hóa,NULL,4,NULL,NULL
159,ぎんこう,NULL,ngân hàng,NULL,4,NULL,NULL
160,ゆうびんきょく,NULL,bưu điện,NULL,4,NULL,NULL
161,としょかん,NULL,thư viện,NULL,4,NULL,NULL
162,びじゅつかん,NULL,bảo tàng mỹ thuật,NULL,4,NULL,NULL
163,いま,NULL,bây giờ,NULL,4,NULL,NULL
164,－じ,NULL,－ giờ,NULL,4,NULL,NULL
165,－ふん（－ぷん）,NULL,－ phút,NULL,4,NULL,NULL
166,はん,NULL,"rưỡi, nửa",NULL,4,NULL,NULL
167,なんじ,NULL,mấy giờ,NULL,4,NULL,NULL
168,なんぷん,NULL,mấy phút,NULL,4,NULL,NULL
169,ごぜん,NULL,"sáng, trước mười hai giờ trưa",NULL,4,NULL,NULL
170,ごご,NULL,"chiều, sau mười hai giờ trưa",NULL,4,NULL,NULL
171,あさ,NULL,"buổi sáng, sáng",NULL,4,NULL,NULL
172,ひる,NULL,"buổi trưa, trưa",NULL,4,NULL,NULL
173,ばん（よる）,NULL,buổi tối,NULL,4,NULL,NULL
174,おととい,NULL,hôm kia,NULL,4,NULL,NULL
175,きのう,NULL,hôm qua,NULL,4,NULL,NULL
176,きょう,NULL,hôm nay,NULL,4,NULL,NULL
177,あした,NULL,ngày mai,NULL,4,NULL,NULL
178,あさって,NULL,ngày kia,NULL,4,NULL,NULL
179,けさ,NULL,sáng nay,NULL,4,NULL,NULL
180,こんばん,NULL,tối nay,NULL,4,NULL,NULL
181,やすみ,NULL,"nghỉ, nghỉ phép, ngày nghỉ",NULL,4,NULL,NULL
182,ひるやすみ,NULL,nghỉ trưa,NULL,4,NULL,NULL
183,しけん,NULL,"thi, kỳ thi, kiểm tra",NULL,4,NULL,NULL
184,かいぎ,NULL,"cuộc họp, hội nghị (～を します : tổ chức cuộc họp, hội nghị)",NULL,4,NULL,NULL
185,えいが,NULL,"phim, điện ảnh",NULL,4,NULL,NULL
186,まいあさ,NULL,"hàng sáng, mỗi sáng",NULL,4,NULL,NULL
187,まいばん,NULL,"hàng tối, mỗi tối",NULL,4,NULL,NULL
188,まいにち,NULL,"hàng ngày, mỗi ngày",NULL,4,NULL,NULL
189,げつようび,NULL,thứ hai,NULL,4,NULL,NULL
190,かようび,NULL,thứ ba,NULL,4,NULL,NULL
191,すいようび,NULL,thứ tư,NULL,4,NULL,NULL
192,もくようび,NULL,thứ năm,NULL,4,NULL,NULL
193,きんようび,NULL,thứ sáu,NULL,4,NULL,NULL
194,どようび,NULL,thứ bảy,NULL,4,NULL,NULL
195,にちようび,NULL,chủ nhật,NULL,4,NULL,NULL
196,なんようび,NULL,thứ mấy,NULL,4,NULL,NULL
197,～から,NULL,～ từ,NULL,4,NULL,NULL
200,たいへんですね。,NULL,"Anh/chị vất vả quá. (dùng để bày tỏ, sự thông cảm)",NULL,4,NULL,NULL
201,ばんごう,NULL,số,NULL,4,NULL,NULL
202,なんばん,NULL,"số bao nhiêu, số mấy",NULL,4,NULL,NULL
203,そちら,NULL,"ông/bà, phía ông/phía bà",NULL,4,NULL,NULL
204,ニューヨーク,NULL,New York,NULL,4,NULL,NULL
205,ペキン,NULL,Bắc Kinh (北京),NULL,4,NULL,NULL
206,ロサンゼルス,NULL,Los Angeles,NULL,4,NULL,NULL
207,ロンドン,NULL,Luân Đôn,NULL,4,NULL,NULL
208,あすか,NULL,tên giả định của một nhà hàng Nhật,NULL,4,NULL,NULL
209,アップルぎんこう,NULL,Ngân hàng Apple (tên giả định),NULL,4,NULL,NULL
210,みどりとしょかん,NULL,Thư viện Midori (tên giả định),NULL,4,NULL,NULL
211,やまとびじゅつかん,NULL,Bảo tàng mỹ thuật Yamato (tên giả định),NULL,4,NULL,NULL
212,えーと,NULL,"ừ, à (từ đệm trong hội thoại khi đang nghĩ điều muốn nói)",NULL,4,NULL,NULL
213,１０４,NULL,số điện thoại của dịch vụ hướng dẫn số điện thoại,NULL,4,NULL,NULL
214,おねがいします。,NULL,Nhờ anh/chị. Phiền anh/chị. Xin vui lòng giúp đỡ,NULL,4,NULL,NULL
215,かしこまりました。,NULL,"Tôi hiểu rồi ạ./ Vâng, được rồi ạ",NULL,4,NULL,NULL
216,おといあわせのばんごう,NULL,số điện thoại mà ông/bà muốn hỏi,NULL,4,NULL,NULL
217,［どうも］ありがとう ございました。,NULL,Xin cảm ơn ông/bà,NULL,4,NULL,NULL
218,バンコク,NULL,Băng Cốc,NULL,4,NULL,NULL
219,おおさかデパート,NULL,tên một bách hóa (giả tưởng),NULL,4,NULL,NULL
220,いきます,NULL,đi,NULL,5,NULL,NULL
221,きます,NULL,đến,NULL,5,NULL,NULL
222,かえります,NULL,về,NULL,5,NULL,NULL
223,がっこう,NULL,trường học,NULL,5,NULL,NULL
224,スーパー,NULL,siêu thị,NULL,5,NULL,NULL
225,えき,NULL,"ga, nhà ga",NULL,5,NULL,NULL
226,ひこうき,NULL,máy bay,NULL,5,NULL,NULL
227,ふね,NULL,"thuyền, tàu thủy",NULL,5,NULL,NULL
228,でんしゃ,NULL,tàu điện,NULL,5,NULL,NULL
229,ちかてつ,NULL,tàu điện ngầm,NULL,5,NULL,NULL
230,しんかんせん,NULL,tàu Shinkansen (tàu điện cao tốc của Nhật),NULL,5,NULL,NULL
231,バス,NULL,xe buýt,NULL,5,NULL,NULL
232,タクシー,NULL, tắc-xi,NULL,5,NULL,NULL
233,じてんしゃ,NULL,xe đạp,NULL,5,NULL,NULL
234,あるいて,NULL,đi bộ,NULL,5,NULL,NULL
235,ひと,NULL,người,NULL,5,NULL,NULL
236,ともだち,NULL,"bạn, bạn bè",NULL,5,NULL,NULL
237,かれ,NULL,"anh ấy, bạn trai",NULL,5,NULL,NULL
238,かのじょ,NULL,"chị ấy, bạn gái",NULL,5,NULL,NULL
239,かぞく,NULL,gia đình,NULL,5,NULL,NULL
240,ひとりで,NULL,một mình,NULL,5,NULL,NULL
241,せんしゅう,NULL,tuần trước,NULL,5,NULL,NULL
242,こんしゅう,NULL,tuần này,NULL,5,NULL,NULL
243,らいしゅう,NULL,tuần sau,NULL,5,NULL,NULL
244,せんげつ,NULL,tháng trước,NULL,5,NULL,NULL
245,こんげつ,NULL,tháng này,NULL,5,NULL,NULL
246,らいげつ,NULL,tháng sau,NULL,5,NULL,NULL
247,きょねん,NULL,năm ngoái,NULL,5,NULL,NULL
248,ことし,NULL,năm nay,NULL,5,NULL,NULL
249,らいねん,NULL,sang năm,NULL,5,NULL,NULL
250,－ねん,NULL,năm －,NULL,5,NULL,NULL
251,なんねん,NULL,mấy năm,NULL,5,NULL,NULL
252,－がつ,NULL,tháng －,NULL,5,NULL,NULL
253,なんがつ,NULL,tháng mấy,NULL,5,NULL,NULL
254,ついたち,NULL,ngày mồng 1,NULL,5,NULL,NULL
255,ふつか,NULL,"ngày mồng 2, 2 ngày",NULL,5,NULL,NULL
256,みっか,NULL,"ngày mồng 3, 3 ngày",NULL,5,NULL,NULL
257,よっか,NULL,"ngày mồng 4, 4 ngày",NULL,5,NULL,NULL
258,いつか,NULL,"ngày mồng 5, 5 ngày",NULL,5,NULL,NULL
259,むいか,NULL,"ngày mồng 6, 6 ngày",NULL,5,NULL,NULL
260,なのか,NULL,"ngày mồng 7, 7 ngày",NULL,5,NULL,NULL
261,ようか,NULL,"ngày mồng 8, 8 ngày",NULL,5,NULL,NULL
262,ここのか,NULL,"ngày mồng 9, 9 ngày",NULL,5,NULL,NULL
263,とおか,NULL,"ngày mồng 10, 10 ngày",NULL,5,NULL,NULL
264,じゅうよっか,NULL,"ngày 14, 14 ngày",NULL,5,NULL,NULL
265,はつか,NULL,"ngày 20, 20 ngày",NULL,5,NULL,NULL
266,にじゅうよっか,NULL,"ngày 24, 24 ngày",NULL,5,NULL,NULL
267,－にち,NULL,"ngày －, － ngày",NULL,5,NULL,NULL
268,なんにち,NULL,"ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày",NULL,5,NULL,NULL
269,いつ,NULL,"bao giờ, khi nào",NULL,5,NULL,NULL
270,たんじょうび,NULL,sinh nhật,NULL,5,NULL,NULL
271,そうですね。,NULL,"Ừ, nhỉ.",NULL,5,NULL,NULL
272,［どうも］ありがとう ございました。,NULL,Xin cảm ơn anh/chị rất nhiều,NULL,5,NULL,NULL
273,どう いたしまして。,NULL,Không có gì đâu (anh/chị đừng bận tâm),NULL,5,NULL,NULL
274,－ばんせん,NULL,sân ga số －,NULL,5,NULL,NULL
275,つぎの,NULL,tiếp theo,NULL,5,NULL,NULL
276,ふつう,NULL,tàu thường (dừng cả ở các ga lẻ),NULL,5,NULL,NULL
277,きゅうこう,NULL,tàu tốc hành,NULL,5,NULL,NULL
278,とっきゅう,NULL,tàu tốc hành đặc biệt,NULL,5,NULL,NULL
279,こうしえん,NULL,tên một khu phố ở gần Osaka,NULL,5,NULL,NULL
280,おおさかじょう,NULL,"Lâu đài Osaka, một lâu đài nổi tiếng ở Osaka",NULL,5,NULL,NULL
281,はかた,NULL,tên một khu phố ở Kyushu,NULL,5,NULL,NULL
282,ふしみ,NULL,tên một khu phố ở Kyoto,NULL,5,NULL,NULL
283,たべます,NULL,ăn,NULL,6,NULL,NULL
284,のみます,NULL,uống,NULL,6,NULL,NULL
285,すいます［たばこを～］,NULL,hút [thuốc lá],NULL,6,NULL,NULL
286,みます,NULL,"nhìn, xem",NULL,6,NULL,NULL
287,ききます,NULL,nghe,NULL,6,NULL,NULL
288,よみます,NULL,đọc,NULL,6,NULL,NULL
289,かきます,NULL,"viết (かきます còn có nghĩa là vẽ, và trong sách này với ý nghĩa đó được viết bằng chữ Hiragana)",NULL,6,NULL,NULL
290,かいます,NULL,mua,NULL,6,NULL,NULL
291,とります［しゃしんを～］,NULL,chụp [ảnh],NULL,6,NULL,NULL
292,します,NULL,"làm, chơi",NULL,6,NULL,NULL
293,あいます［ともだちに～］,NULL,gặp [bạn],NULL,6,NULL,NULL
294,ごはん,NULL,"bữa ăn, cơm",NULL,6,NULL,NULL
295,あさごはん,NULL,"cơm sáng, bữa sáng",NULL,6,NULL,NULL
296,ひるごはん,NULL,"cơm trưa, bữa trưa",NULL,6,NULL,NULL
297,ばんごはん,NULL,"cơm tối, bữa tối",NULL,6,NULL,NULL
298,パン,NULL,bánh mì,NULL,6,NULL,NULL
299,たまご,NULL,trứng,NULL,6,NULL,NULL
300,にく,NULL,thịt,NULL,6,NULL,NULL
301,さかな,NULL,cá,NULL,6,NULL,NULL
302,やさい,NULL,rau,NULL,6,NULL,NULL
303,くだもの,NULL,"hoa quả, trái cây",NULL,6,NULL,NULL
304,みず,NULL,nước,NULL,6,NULL,NULL
305,おちゃ,NULL,"trà, trà xanh",NULL,6,NULL,NULL
306,こうちゃ,NULL,trà đen,NULL,6,NULL,NULL
307,ぎゅうにゅう（ミルク）,NULL,sữa bò (sữa),NULL,6,NULL,NULL
308,ジュース,NULL,nước hoa quả,NULL,6,NULL,NULL
309,ビール,NULL,bia,NULL,6,NULL,NULL
310,［お］さけ,NULL,"rượu, rượu gạo Nhật Bản",NULL,6,NULL,NULL
311,たばこ,NULL,thuốc lá,NULL,6,NULL,NULL
312,てがみ,NULL,thư,NULL,6,NULL,NULL
313,レポート,NULL,báo cáo,NULL,6,NULL,NULL
314,しゃしん,NULL,ảnh,NULL,6,NULL,NULL
315,ビデオ,NULL,"băng video, đầu video",NULL,6,NULL,NULL
316,みせ,NULL,"cửa hàng, tiệm",NULL,6,NULL,NULL
317,にわ,NULL,vườn,NULL,6,NULL,NULL
318,しゅくだい,NULL,bài tập về nhà (～を します : làm bài tập về nhà),NULL,6,NULL,NULL
319,テニス,NULL,quần vợt (～を します : đánh quần vợt),NULL,6,NULL,NULL
320,サッカー,NULL,bóng đá (～を します : chơi bóng đá),NULL,6,NULL,NULL
321,［お］はなみ,NULL,(việc) ngắm hoa anh đào (～を します : ngắm hoa anh đào),NULL,6,NULL,NULL
322,なに,NULL,"cái gì, gì",NULL,6,NULL,NULL
323,いっしょに,NULL,"cùng, cùng nhau",NULL,6,NULL,NULL
324,ちょっと,NULL,một chút,NULL,6,NULL,NULL
325,いつも,NULL,"luôn luôn, lúc nào cũng",NULL,6,NULL,NULL
326,ときどき,NULL,thỉnh thoảng,NULL,6,NULL,NULL
327,それから,NULL,"sau đó, tiếp theo",NULL,6,NULL,NULL
328,ええ,NULL,vâng/được,NULL,6,NULL,NULL
329,いいですね。,NULL,Được đấy nhỉ./Hay quá.,NULL,6,NULL,NULL
330,わかりました。,NULL,Tôi hiểu rồi./Vâng ạ,NULL,6,NULL,NULL
331,なんですか。,NULL,Có gì đấy ạ?/Cái gì vậy?/Vâng có tôi.,NULL,6,NULL,NULL
332,じゃ、また［あした］。,NULL,Hẹn gặp lại [ngày mai],NULL,6,NULL,NULL
333,メキシコ,NULL,Mexico,NULL,6,NULL,NULL
334,おおさかデパート,NULL,tên bách hóa giả định,NULL,6,NULL,NULL
335,つるや,NULL,tên nhà hàng giả định,NULL,6,NULL,NULL
336,フランスや,NULL,tên siêu thị giả định,NULL,6,NULL,NULL
337,まいにちや,NULL,tên siêu thị giả định,NULL,6,NULL,NULL
338,えいが,NULL,"phim, điện ảnh",NULL,6,NULL,NULL
339,CD,NULL,đĩa CD,NULL,6,NULL,NULL
340,レストラン,NULL,nhà hàng,NULL,6,NULL,NULL
341,おおさかじょうこうえん,NULL,Công viên lâu đài Osaka,NULL,6,NULL,NULL
342,きります,NULL,cắt,NULL,7,NULL,NULL
343,おくります,NULL,gửi,NULL,7,NULL,NULL
344,あげます,NULL,"cho, tặng",NULL,7,NULL,NULL
345,もらいます,NULL, nhận,NULL,7,NULL,NULL
346,かします,NULL,"cho mượn, cho vay",NULL,7,NULL,NULL
347,かります,NULL,"mượn, vay",NULL,7,NULL,NULL
348,おしえます,NULL,dạy,NULL,7,NULL,NULL
349,ならいます,NULL,học tập,NULL,7,NULL,NULL
350,かけます［でんわを～］,NULL,gọi [điện thoại],NULL,7,NULL,NULL
351,て,NULL,tay,NULL,7,NULL,NULL
352,はし,NULL,đũa,NULL,7,NULL,NULL
353,スプーン,NULL,thìa,NULL,7,NULL,NULL
354,ナイフ,NULL,dao,NULL,7,NULL,NULL
355,フォーク,NULL,"dĩa, nĩa",NULL,7,NULL,NULL
356,はさみ,NULL,kéo,NULL,7,NULL,NULL
357,パソコン,NULL,máy vi tính cá nhân,NULL,7,NULL,NULL
358,ケータイ,NULL,điện thoại di động,NULL,7,NULL,NULL
359,メール,NULL,"thư điện tử, email",NULL,7,NULL,NULL
360,ねんがじょう,NULL,thiệp mừng năm mới,NULL,7,NULL,NULL
361,パンチ,NULL,cái đục lỗ,NULL,7,NULL,NULL
362,ホッチキス,NULL,cái dập ghim,NULL,7,NULL,NULL
363,セロテープ,NULL,băng dính,NULL,7,NULL,NULL
364,けしゴム,NULL,"cái tẩy, cục tấy",NULL,7,NULL,NULL
365,かみ,NULL,giấy,NULL,7,NULL,NULL
